keyword,# 投資,風險,本基金,基金,股票,國內,公司股票,上市,證券,產業,價格,憑證,ETF,信託,公司債,價值,公開說明書,型基金,成長,影響,波動,上櫃,承銷,期貨,認股權,金融債券,資產,不動產,三十種,投資人,上市櫃,有價證券,報酬,RR4,市場,受益憑證,指數股票型,槓桿型,反向型,商品,不動產證券化條例,利基,一般型,之台,中華民國證券投資信託暨顧問商業同業公會,基金風險報酬等級分類標準,指數,MSCI,印度,追蹤,國家,分散,保證,目標,成分股,標準,地區,績效,全球,方式,掛牌,流動性,有效,RR5,存續期間,指數型,重要資訊,香港,新加坡,匯集,交易所,最小追蹤偏離度,單一國家,股票型,公用事業,交易,國內外,信託契約,所列,百分之六十,較大,區域,景氣,循環,一般,成立日,流動性準備,短期票券,台灣,滬港通,深港通,債券,本基,美元,10,富時,世界,年期,銀行債券,信用評等,Moody,評級,給予,本子,銀行業,發行,大於,信評,高於,利率,等級分類,銀行存款,附買回,工具,之次,金管會,基礎,評等,貨幣市場,貨幣市場型,變動,信用風險,RR1,嚴謹,房地產,建設,證券化,百分之七十,不動產證券化型,政府,投資等級,野村,亞太,基本面,公債,日本,亞太地區,管理,各國,中長期,RR2,印尼,澳洲,孟加拉,汶萊,柬埔寨,蒙古,越南,巴基斯坦,經濟成長,高收益債券,機構,到期日,新興市場,二年,限制,經理,公司,到期,法令,修正,美國,Rule,144A,債券型,違約,信用,RR3,加權平均,應依,資訊不透明,亞洲,匯率,前述,所稱,百分之三十,多元,降低,動性,資產配置,靈活,電子,臺灣,複製,發行量,加權,股價指數,類股,實質,多重,投資信託,REITs,以及,外國,固定收益,概念,債券通,股息,100,優質,勢拓,三菱,Dividend,開發,Quality,指數化,STOXX,穩定度,因子,之日起,台商,收成,上市公司,權益,美洲,大洋洲,證券交易,股份,單位,企業,而於,英國,經濟,過度,店頭市場,美國政府,20,ICE,電能,公共事業,行業,屬性分析,自成,日起,500,標普,槓桿,單日,計算,正向,基於,累積,複利,效果,追求,策略,商品交易,OPCO,LLC,反應,偏離,那斯,組合型基金,平衡型,機會,印尼政府,明書,新興,大陸,亞洲地區,發展,澳幣,大中華,平衡,性質,法規,以中,互聯互通,管道,限於,不確定性,對手,中國,產生,營運,跨境,歐洲,STOXX50,緊貼,葡萄牙,西班牙,特選,曝險,篩選,農業,商機,資源,議題,趨勢,藉以,境外,能源,物料,核備,為主,百分,六十,之子,非洲,東協,特別,彭博,大型,國外,B股,櫃檯買賣中心,深圳,上海,上證,50,境內,比重,規模,本國,固定收益型,監控,風險管理,非投資等級,重要,科技事業,IC,從事,轉投資,向上,流通,外面,現金,股利,225,日經,Nikkei,Inc,產業結構,組成,調整,市值,代表,股市,點數,人工智慧,主題,AC,World,Index,中華民國,年度,平均,年股,反向,說明,兩倍,總額,轉換,比例,中小型,以新,國際,中港,股票市場,消費,韓國,泰國,馬來西亞,菲律賓,紐西蘭,高科技,基準日,三個,直接,日及,低估,具有,資本,增值,空間,台股,300,滬深,一倍,中證,有限公司,每日,收益,對應,僅限於,泛歐,所在國,NASDAQ,Depository,Receipts,70%,國債,政策性,人民幣,融債,巴克萊,債券市場,定期存單,票券,含次,潛力股,AAA,至少,只有,納入,成份,該子,含有,Emerging,Markets,應達,唯一,拉丁美洲,金融,醫療保健,巴西,傳媒,通訊,電子科技,電信,高級,保健,主流,選擇,富櫃五十指數,一年,並於,海外,拉伯,安哥拉,伊朗,南非,加拿大,智利,瑞士,連結,單一,費用,標智滬深,香港證券交易所,恒生,小型,衍生,申購,採用,獲利,成立,經濟建設,外銷,營收,金鑽獎,market,中型,BBB,位於,介於
# 投資,66909,42827,32902,20655,7715,1135,394,1343,4113,4589,7025,1307,2092,528,1001,7472,9440,2230,202,1203,8251,774,1106,846,72,262,3027,1322,40,3491,790,5632,9346,1758,11779,877,2014,505,504,2430,55,20,230,295,2741,2397,13942,1162,919,3112,5758,2082,1472,2786,1313,547,4474,904,1921,198,283,2697,124,1472,947,22,348,1685,568,62,1092,659,242,678,388,10566,1752,526,393,500,88,1031,234,234,300,1945,44,670,135,695,695,14361,3615,1212,276,330,162,723,54,4484,162,312,222,108,36,1414,290,232,108,882,688,353,383,665,68,2307,278,298,566,418,1648,1901,318,94,279,210,878,244,372,852,1186,128,698,128,256,245,134,439,64,64,226,2295,151,32,90,90,32,112,32,707,4634,2912,396,2223,264,358,264,626,264,264,1077,2774,1890,1890,1246,264,264,1212,735,132,945,1917,1610,851,700,1104,280,280,924,896,377,124,949,918,108,146,108,248,360,360,442,270,316,768,540,180,249,910,583,380,285,285,285,285,190,294,238,190,190,95,57,57,19,192,143,119,814,242,242,289,48,242,92,80,346,550,453,408,90,54,72,924,420,420,420,439,345,687,352,314,255,333,333,333,301,106,106,54,54,118,222,41,202,20,1158,112,112,160,1094,44,44,60,558,602,240,286,124,152,244,527,124,318,2074,336,124,124,182,45,178,15,15,56,28,28,168,96,48,48,112,24,140,69,69,46,46,46,46,94,23,464,191,242,198,132,132,106,66,66,96,362,80,48,48,132,132,44,44,44,128,128,96,64,64,96,76,30,54,54,60,45,30,30,30,30,57,166,38,38,38,80,32,180,180,228,657,120,120,120,634,26,106,237,38,38,198,150,28,28,28,38,38,38,38,38,38,19,46,46,94,23,68,51,51,51,51,51,704,504,64,64,64,64,162,64,64,69,69,114,46,46,46,80,80,650,64,138,48,84,84,74,32,45,45,60,60,72,72,48,48,48,48,48,24,72,90,181,160,160,120,120,80,40,93,62,40,162,162,162,81,81,81,81,81,81,81,90,90,60,60,60,60,60,60,60,26,32,175,105,105,105,35,30,72,135,30,30
風險,42827,29557,20230,12774,5129,626,201,872,3223,2952,4690,748,1194,286,649,4512,6318,1466,113,828,5512,448,661,494,44,168,1781,696,22,2045,509,3740,6843,1072,7887,505,1549,291,291,1607,33,11,159,196,1857,1532,12172,812,588,2718,3487,1775,961,2419,1083,471,2747,779,1022,162,174,1989,96,1090,535,16,217,1168,411,48,923,577,173,429,266,7515,982,329,254,328,60,623,146,146,200,1218,30,413,115,489,489,9511,3466,698,216,274,120,680,42,2730,120,255,174,80,28,929,262,185,80,618,650,222,240,399,50,1295,200,194,341,252,1008,1056,196,62,183,150,456,152,192,642,805,128,578,128,234,222,124,433,64,64,208,1410,132,32,68,68,32,82,32,432,2847,1750,252,1166,168,234,168,426,168,168,657,1805,1146,1146,716,168,168,696,436,84,573,1012,858,452,360,690,180,180,488,572,250,102,913,808,99,131,99,184,204,204,253,153,175,464,346,102,195,696,477,300,225,225,225,225,150,242,189,150,150,75,51,51,17,88,69,55,467,134,134,184,22,134,50,48,201,535,437,399,65,39,52,387,180,180,403,420,341,690,350,318,258,336,336,336,302,104,104,52,52,120,224,39,108,10,816,64,64,90,735,28,28,36,468,416,172,244,100,126,172,368,100,288,1568,302,100,100,118,39,158,13,13,64,32,32,98,56,28,28,54,14,72,33,33,22,22,22,22,50,11,288,142,232,180,120,120,92,60,60,76,334,64,38,38,72,72,24,24,24,52,52,39,26,26,50,56,28,51,51,52,39,26,26,26,26,48,122,32,32,32,65,26,81,81,109,468,54,54,54,646,26,111,129,22,22,126,84,26,26,26,28,28,28,28,28,28,14,28,28,56,14,44,33,33,33,33,33,621,472,68,68,68,68,146,68,68,30,30,72,20,20,20,110,110,572,88,147,66,52,52,48,22,39,39,54,54,42,42,28,28,28,28,28,14,68,65,152,128,128,96,96,64,32,39,26,32,144,144,144,72,72,72,72,72,72,72,48,48,32,32,32,32,32,32,32,26,26,65,39,39,39,13,28,68,126,28,28
本基金,32902,20230,18019,11131,3771,590,212,682,1446,2356,3394,665,1066,289,441,4077,4417,1181,106,517,3897,428,555,504,38,124,1670,604,20,1696,411,2389,3462,916,5535,447,690,242,242,914,30,10,91,155,1275,1275,4834,568,523,1154,3122,849,693,851,608,159,2263,338,889,102,180,1191,66,664,513,12,153,823,283,33,542,227,85,316,192,4834,857,293,218,274,48,524,124,124,150,1045,24,322,69,317,317,6911,0,438,0,84,0,36,0,2524,0,60,24,0,0,653,24,54,0,340,0,169,187,337,36,1332,146,202,278,206,944,1101,162,51,155,110,374,118,164,458,659,88,418,88,110,121,88,68,44,44,110,1395,77,22,52,52,22,62,22,405,2619,1633,276,1250,184,232,184,338,184,184,608,1347,1032,1032,702,184,184,674,409,92,516,1033,852,458,380,588,160,160,516,476,205,67,357,370,57,75,57,125,180,180,211,135,165,390,266,90,110,465,329,220,165,165,165,165,110,134,110,110,110,55,27,27,9,80,66,55,401,106,106,136,20,106,40,38,170,0,48,0,0,0,0,483,220,220,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,109,11,606,68,68,76,502,20,20,36,284,296,124,130,64,64,116,259,64,130,902,154,64,64,48,0,0,0,0,0,0,0,77,44,22,22,56,11,82,45,45,30,30,30,30,52,15,240,60,78,99,66,66,51,33,33,48,120,42,24,24,72,72,24,24,24,68,68,51,34,34,54,24,0,27,27,0,0,0,0,0,0,27,81,18,18,18,0,0,90,90,112,308,60,60,60,0,0,0,133,22,22,104,66,0,0,0,22,22,22,22,22,22,11,24,24,46,12,44,33,33,33,33,33,208,104,0,0,0,0,22,0,0,36,36,36,24,24,24,0,0,222,0,36,0,28,28,32,18,36,36,24,24,33,33,22,22,22,22,22,11,36,0,88,64,64,48,48,32,16,48,32,18,66,66,66,33,33,33,33,33,33,33,78,78,52,52,52,52,52,52,52,0,18,90,54,54,54,18,0,36,0,0,0
基金,20655,12774,11131,8401,2485,554,158,460,1173,1591,2107,470,1152,267,357,2470,2784,661,66,328,2567,302,395,459,30,116,1026,442,16,928,287,1691,2262,522,3652,389,667,237,237,718,22,8,68,117,837,837,3439,332,329,756,1754,589,516,572,407,89,1434,209,597,62,121,810,34,518,284,7,134,571,203,17,431,155,57,257,112,3080,665,169,122,116,28,322,76,76,86,643,14,322,49,207,207,3736,0,225,0,68,0,27,0,1162,0,45,18,0,0,386,18,39,0,144,0,165,179,338,24,736,94,100,287,252,476,502,150,64,118,70,300,82,112,306,341,56,206,56,70,79,52,52,28,28,82,679,51,14,26,26,14,37,14,187,1155,799,132,678,88,122,88,202,88,88,288,742,488,488,480,88,88,384,187,44,244,420,353,191,140,270,50,50,204,259,130,49,268,264,36,50,36,89,132,132,239,99,131,410,142,66,72,221,167,100,75,75,75,75,50,74,50,50,50,25,21,21,7,56,49,44,283,108,108,75,20,108,42,32,157,0,36,0,0,0,0,249,90,90,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,158,13,354,32,32,81,384,22,22,28,166,126,48,78,24,24,52,209,24,78,742,102,24,24,24,0,0,0,0,0,0,0,35,20,10,10,30,5,100,48,48,32,32,32,32,68,16,96,24,48,81,54,54,47,27,27,48,116,36,24,24,138,138,46,46,46,40,40,30,20,20,34,10,0,21,21,0,0,0,0,0,0,21,56,14,14,14,0,0,36,36,72,181,24,24,24,0,0,0,77,14,14,49,66,0,0,0,10,10,10,10,10,10,5,10,10,46,5,28,21,21,21,21,21,184,92,0,0,0,0,14,0,0,18,18,18,12,12,12,0,0,210,0,27,0,48,48,38,14,27,27,18,18,54,54,36,36,36,36,36,18,28,0,52,40,40,30,30,20,10,30,20,20,54,54,54,27,27,27,27,27,27,27,69,69,46,46,46,46,46,46,46,0,12,90,54,54,54,18,0,28,0,0,0
股票,7715,5129,3771,2485,2167,234,119,383,584,923,945,410,420,156,181,797,1072,488,89,240,975,282,373,168,28,46,172,128,14,277,204,896,1021,320,1645,200,312,124,123,306,14,7,64,87,351,325,2139,318,113,506,446,369,118,408,308,108,709,150,279,50,60,212,36,328,48,6,44,355,104,18,212,115,32,154,32,1454,192,48,42,32,8,186,38,38,58,169,4,4,14,145,145,376,264,0,0,36,0,0,0,92,0,0,0,0,0,132,0,0,0,96,52,0,0,6,0,51,40,0,0,0,0,0,0,13,49,40,52,44,16,42,46,0,180,0,18,14,6,40,0,0,0,57,6,0,14,14,0,21,0,0,138,80,0,24,0,40,0,97,0,0,46,232,92,92,0,0,0,20,12,0,46,44,90,74,0,104,0,0,0,45,0,22,173,191,12,22,12,106,48,48,36,36,42,98,92,24,20,273,168,120,90,90,90,90,60,76,66,60,60,30,6,6,2,0,7,3,223,70,70,128,14,70,28,40,80,0,0,0,0,0,0,63,0,0,8,6,20,53,30,36,15,27,27,27,22,4,0,0,0,10,18,2,10,2,0,0,0,33,314,14,14,0,120,110,44,16,16,24,40,115,16,16,300,58,16,16,36,6,28,2,2,12,6,6,28,16,8,8,22,4,12,9,9,6,6,6,6,6,3,112,28,14,45,30,30,27,15,15,24,80,38,12,12,0,0,0,0,0,28,28,21,14,14,30,28,0,9,9,16,12,8,8,8,8,15,69,10,10,10,10,4,63,63,63,182,42,42,42,42,4,15,71,18,18,110,42,8,8,8,6,6,6,6,6,6,3,28,28,28,14,24,18,18,18,18,18,89,68,8,10,10,10,10,10,10,18,18,18,12,12,12,0,0,24,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,8,0,30,32,32,24,24,16,8,21,14,12,0,0,0,0,0,0,0,0,0,0,6,6,4,4,4,4,4,4,4,4,26,35,21,21,21,7,0,12,0,0,0
國內,1135,626,590,554,234,184,70,111,132,127,136,90,141,84,121,133,156,78,28,93,141,113,64,74,20,48,60,20,12,60,58,106,132,44,147,37,41,37,37,39,14,6,22,28,52,52,30,0,0,0,12,4,40,0,0,0,16,0,0,0,0,54,0,18,16,0,16,0,0,0,0,0,0,8,0,44,36,3,0,0,0,0,8,8,0,18,0,67,0,0,0,106,0,0,0,0,0,0,0,7,0,0,0,0,0,24,0,4,0,0,0,45,45,51,10,54,10,6,42,48,18,20,30,13,0,0,12,0,0,18,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,28,0,0,0,0,0,0,24,0,0,12,0,0,0,0,0,6,0,0,0,0,0,12,6,6,0,0,0,0,0,8,0,0,24,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,18,18,6,6,6,12,12,9,6,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,23,6,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,9,9,9,9,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,18,0,0,0,12,12,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,12,12,12,4,0,0,0,0,0
公司股票,394,201,212,158,119,70,49,56,28,68,68,49,51,41,43,57,51,43,19,51,51,48,30,34,14,14,14,14,10,36,36,34,38,26,38,17,17,17,17,17,7,5,13,15,17,17,0,0,0,0,6,4,20,0,0,0,8,0,0,0,0,0,0,8,8,0,8,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,6,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,6,6,2,0,0,0,0,0
上市,1343,872,682,460,383,111,56,161,144,171,187,98,94,67,84,141,194,109,30,102,168,124,88,73,14,26,29,14,8,76,64,130,191,60,232,32,50,30,30,62,7,4,24,31,63,58,241,46,7,54,42,43,42,56,36,13,67,14,26,8,12,44,6,52,15,1,16,28,11,3,27,11,6,19,0,159,4,3,1,0,0,5,6,6,10,17,0,12,4,12,12,66,71,0,0,0,0,0,0,18,0,0,0,0,0,8,0,4,0,12,10,12,12,10,8,17,8,4,6,8,8,10,8,10,0,0,0,4,0,8,6,0,0,0,4,2,2,14,0,0,0,9,2,0,2,2,0,2,0,0,18,20,0,1,0,6,0,36,0,0,6,23,12,12,0,0,0,4,2,0,6,3,10,4,0,14,0,0,0,3,0,4,45,20,0,0,0,24,0,0,0,0,0,14,12,0,2,9,6,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,20,0,0,4,0,0,0,12,5,0,0,0,0,0,0,27,0,0,0,4,8,28,0,12,0,12,12,12,12,4,0,0,0,0,8,0,0,0,0,0,0,2,29,0,0,0,8,20,8,4,4,4,8,4,4,4,25,10,4,4,4,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,16,9,2,0,0,0,0,0,0,12,44,18,6,6,0,0,0,0,0,12,12,9,6,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,34,6,6,6,18,4,0,20,4,4,3,0,0,0,0,2,2,2,2,2,2,1,0,0,0,0,8,6,6,6,6,6,8,4,0,0,0,0,4,0,0,3,3,6,2,2,2,0,0,6,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,8,8,6,6,4,2,9,6,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,2,2,2,2,2,4,12,15,9,9,9,3,2,4,0,0,0
證券,4113,3223,1446,1173,584,132,28,144,868,243,455,61,146,46,138,334,696,151,18,141,567,54,58,66,16,52,227,88,8,212,63,570,1098,96,835,84,277,31,31,241,11,4,30,29,212,128,2105,51,10,444,86,293,24,452,141,81,228,129,39,12,18,295,12,140,11,2,8,79,25,6,185,98,24,29,6,806,102,2,2,0,0,4,0,0,20,56,0,96,0,62,62,883,928,84,48,51,27,168,9,117,27,57,39,18,6,65,54,44,18,66,168,63,63,76,16,94,16,8,65,68,22,26,42,19,0,0,20,12,0,32,36,0,0,0,18,6,0,112,0,0,0,16,0,0,6,6,0,6,0,0,108,51,0,0,0,12,0,48,0,0,36,165,72,72,32,0,0,44,6,0,36,0,48,0,0,78,0,0,0,45,8,25,249,131,36,36,36,33,72,72,90,54,54,96,72,36,27,45,18,0,0,0,0,0,0,30,9,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,6,27,145,120,111,15,9,12,0,0,0,120,121,108,228,88,100,72,108,108,108,100,36,32,16,16,32,72,11,8,0,0,0,0,4,72,0,0,0,60,60,24,12,12,18,24,30,12,18,99,48,12,12,26,9,36,3,3,24,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,27,42,27,18,18,17,9,9,24,116,18,12,12,24,24,8,8,8,0,0,0,0,0,0,6,6,9,9,12,9,6,6,6,6,0,8,0,0,0,15,6,0,0,0,14,0,0,0,202,12,28,4,0,0,3,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,96,16,16,16,16,34,16,16,6,6,15,4,4,4,15,15,45,12,27,9,20,20,18,8,9,9,12,12,0,0,0,0,0,0,0,0,0,15,10,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,0,0,0,0,0,6,12,27,6,6
產業,4589,2952,2356,1591,923,127,68,171,243,758,524,168,241,78,76,553,612,242,28,112,587,109,133,72,12,16,113,134,8,140,110,556,512,176,926,94,155,61,61,186,6,4,28,44,200,198,784,119,89,182,211,170,56,137,131,32,327,61,263,22,24,112,12,182,26,2,20,194,65,6,105,48,16,89,64,840,169,77,58,54,16,175,54,54,34,133,8,8,23,88,88,332,18,0,0,16,0,0,0,128,0,0,0,0,0,62,0,0,0,32,4,0,0,4,0,91,50,16,0,8,16,16,0,6,56,50,90,38,44,16,28,0,60,0,4,22,22,4,0,0,0,63,22,0,4,4,0,7,0,8,116,68,24,62,16,24,16,46,16,16,36,120,56,56,32,16,16,38,14,8,28,48,36,16,0,46,0,0,0,26,4,16,91,91,15,19,15,28,24,24,26,18,22,72,40,12,10,88,62,40,30,30,30,30,20,24,26,20,20,10,9,9,3,16,19,10,86,30,30,36,6,30,12,10,45,0,0,0,0,0,0,45,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,0,0,0,21,124,6,6,0,44,46,16,8,8,8,20,51,8,8,122,24,8,8,16,0,4,0,0,0,0,0,63,36,18,18,26,9,12,6,6,4,4,4,4,8,2,32,8,4,18,12,12,10,6,6,8,30,8,4,4,12,12,4,4,4,16,16,12,8,8,16,4,0,6,6,0,0,0,0,0,0,6,16,4,4,4,10,4,18,18,22,64,12,12,12,0,0,0,60,4,4,18,18,0,0,0,22,22,22,22,22,22,11,4,4,8,2,12,9,9,9,9,9,0,0,0,0,0,0,0,0,0,12,12,12,8,8,8,0,0,24,0,0,0,0,0,4,4,0,0,0,0,6,6,4,4,4,4,4,2,12,0,10,32,32,24,24,16,8,27,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,6,6,6,2,0,8,0,0,0
