,0
元大多多基金,RR4
元大印度指數基金,RR5
元大全球公用能源效率基金-不配息,RR4
元大10年期以上美元投資級銀行債券ETF基金,RR2
元大得利貨幣市場基金,RR1
元大全球地產建設入息基金-不配息,RR4
元大美元貨幣市場基金(美元),RR1
元大亞太政府公債指數基金-不配息,RR2
元大新興雙印四年到期債券基金A不配息(台幣),RR3
元大亞洲優選高收益債券基金A不配息(美元),RR4
元大台灣電子科技基金,RR5
元大實質多重資產基金(美元),RR4
元大亞太優質高股息100指數基金I不配息(台幣),RR4
元大台商收成基金,RR5
元大全球不動產證券化基金A不配息(台幣),RR4
元大亞洲優選高收益債券基金B配息(美元),RR4
元大印度基金,RR5
元大美國政府20年期(以上)債券基金,RR2
元大10年期以上美元投資級公共事業電能債券ETF基金,RR2
元大新興亞洲美元債券基金A不配息(台幣避險),RR3
元大標普500單日正向2倍基金,RR5
元大全球ETF穩健組合基金,RR3
元大新興印尼機會債券基金-B配息(人民幣),RR3
元大新興亞洲基金,RR5
元大澳幣貨幣市場基金(澳幣),RR1
元大大中華豐益平衡基金(台幣),RR3
元大歐洲50基金,RR4
元大亞太優質高股息100指數基金A不配息(台幣),RR4
元大台灣高股息低波動ETF基金,RR4
元大全球農業商機基金,RR5
元大亞太政府公債指數基金-配息,RR2
元大新興亞洲美元債券基金B配息(美元),RR3
元大新興印尼機會債券基金-B配息(台幣),RR3
元大全球ETF成長組合基金,RR4
元大全球公用能源效率基金-配息,RR4
元大亞洲優選高收益債券基金B配息(人民幣避險),RR4
元大新東協平衡基金(美元),RR4
元大大中華價值指數基金(台幣),RR5
元大上證50基金,RR5
元大全球靈活配置債券組合基金B季配,RR3
元大高科技基金,RR5
元大美國政府1至3年期債券ETF基金,RR2
元大台灣高股息基金,RR5
元大日經225基金,RR4
元大摩臺基金,RR4
元大全球人工智慧ETF基金,RR4
元大台灣卓越50基金,RR5
元大美國政府7至10年期債券基金,RR2
元大全球股票入息基金-B配息(美元),RR4
元大新興亞洲美元債券基金A不配息(台幣),RR3
元大台灣50單日反向1倍基金,RR5
元大美國政府20年期(以上)債券單日正向2倍基金,RR3
元大亞太優質高股息100指數基金B配息(美元),RR4
元大澳幣貨幣市場基金(台幣),RR1
元大店頭基金,RR5
元大新中國基金(美元),RR5
元大MSCI中國A股國際通ETF基金,RR5
元大得寶貨幣市場基金,RR1
元大亞太成長基金,RR5
元大華夏中小基金,RR5
元大新中國基金(人民幣),RR5
元大巴菲特基金,RR5
元大滬深300單日反向1倍基金,RR5
元大新興雙印四年到期債券基金B季配(台幣),RR3
元大大中華價值指數基金(人民幣),RR5
元大泛歐成長基金,RR5
元大中國國債及政策性金融債3至5年期債券ETF基金,RR2
元大中國平衡基金(台幣),RR4
元大人民幣貨幣市場基金(人民幣),RR1
元大中國平衡基金(人民幣),RR4
元大全球不動產證券化基金A不配息(美元),RR4
元大多福基金,RR4
元大亞洲優選高收益債券基金B配息(台幣),RR4
元大20年期以上AAA至A級美元公司債券ETF基金,RR2
元大全球新興市場精選組合基金,RR5
元大全球不動產證券化基金B配息(台幣),RR4
元大台灣金融基金,RR5
元大全球股票入息基金-A不配息(台幣),RR4
元大亞太優質高股息100指數基金B配息(澳幣),RR4
元大10年期以上美元投資級醫療保健債券ETF基金,RR2
元大新興印尼機會債券基金-A不配息(台幣),RR3
元大巴西指數基金,RR5
元大全球靈活配置債券組合基金A不配息,RR3
元大大中華TMT基金(人民幣),RR5
元大亞洲優選高收益債券基金A不配息(台幣),RR4
元大新興雙印四年到期債券基金A不配息(美元),RR3
元大新主流基金,RR4
元大實質多重資產基金(台幣),RR4
元大大中華豐益平衡基金(人民幣),RR3
元大標普500單日反向1倍基金,RR5
元大美元貨幣市場基金(台幣),RR1
元大富櫃50基金,RR5
元大中國機會債券基金-配息(人民幣),RR2
元大全球股票入息基金-B配息(台幣),RR4
元大新興亞洲美元債券基金A不配息(美元),RR3
元大亞太優質高股息100指數基金B配息(台幣),RR4
元大中國機會債券基金-不配息(台幣),RR2
元大新中國基金(台幣),RR5
元大台灣加權股價指數基金,RR4
元大標智滬深300基金,RR5
元大新興雙印四年到期債券基金B季配(美元),RR3
元大全球地產建設入息基金-配息,RR4
元大標普500基金,RR4
元大萬泰貨幣市場基金,RR1
元大卓越基金,RR4
元大印尼指數基金,RR5
元大台灣50單日正向2倍基金,RR5
元大新興亞洲美元債券基金B配息(台幣),RR3
元大美國政府20年期(以上)債券單日反向1倍基金,RR3
元大中國機會債券基金-不配息(人民幣),RR2
元大二○○一基金,RR4
元大經貿基金,RR4
元大實質多重資產基金(人民幣),RR4
元大滬深300單日正向2倍基金,RR5
元大全球不動產證券化基金A不配息(人民幣),RR4
元大標普美國高息特別股ETF基金,RR4
元大台灣中型100基金,RR5
元大大中華TMT基金(台幣),RR5
元大人民幣貨幣市場基金(台幣),RR1
元大新興印尼機會債券基金-B配息(美元),RR3
元大20年期以上BBB級美元公司債券ETF基金,RR2
元大大中華價值指數基金(美元),RR5
元大新東協平衡基金(台幣),RR4
