Rank,ETF,Sharp Omega
1,EURL,-0.18106757290338293
2,UPV,-0.32575779162022267
3,FIEE,-0.34019093810511525
4,EWGS,-0.3856968486937149
5,EWO,-0.40124862495326896
6,GREK,-0.4116026338145504
7,HEWI,-0.4606220878895567
8,EWI,-0.509424705261516
9,FEUZ,-0.5164172082415558
10,EWN,-0.5247700206701817
11,EUFN,-0.5333531899426986
12,SMEZ,-0.5344028784128321
13,EWQ,-0.5433486609295042
14,NORW,-0.5503107130080023
15,HEWP,-0.5511757616458128
16,HEDJ,-0.5535389415208891
17,FGM,-0.5556491129589693
18,ENOR,-0.5565013687536771
19,EUSC,-0.5594801295818131
20,EWP,-0.5616496064227273
21,GVAL,-0.5676914672224147
22,DEZU,-0.5693693807616713
23,FEP,-0.569788962185318
24,PGAL,-0.5740629766655121
25,DBEZ,-0.5836292632836599
26,IEUS,-0.5878989074972605
27,FEZ,-0.5888950177137493
28,HEZU,-0.5920567246968513
29,HEWL,-0.5954586347185195
30,EDOM,-0.5986806210660387
31,EFNL,-0.599868892040141
32,EZU,-0.6007008865113925
33,DXGE,-0.6036193302003687
34,HEWG,-0.6067730270337512
35,DBGR,-0.6134926083172414
36,GRMY,-0.6155907462329555
37,EWG,-0.6160284786074314
38,DFE,-0.6179596631547986
39,DAX,-0.6220828065615334
40,RFEU,-0.6297764772161917
41,EWUS,-0.6324810847195889
42,EDEN,-0.6387995904893891
43,EURZ,-0.6406794547216417
44,EWD,-0.6415645817241418
45,DDEZ,-0.6488442979864464
46,EWK,-0.6605464110268763
47,FSZ,-0.6610105915679114
48,GSEU,-0.6632156203659747
49,VGK,-0.6666281464829398
50,IEUR,-0.6688049191224102
51,HEWU,-0.6697280132588486
52,DBUK,-0.6726141306455822
53,DBEU,-0.6749347614117971
54,EUDG,-0.6755473999101513
55,SCID,-0.676524916585002
56,IEV,-0.6875738353055098
57,EWL,-0.6909490098933846
58,HFXE,-0.6912333062795722
59,EIRL,-0.6915423175072626
60,JPEH,-0.6923738850604901
61,FKU,-0.6969269592030286
62,FEU,-0.7001170319698005
63,WBIA,-0.7093202520944535
64,FDD,-0.7184336705436358
65,ADRU,-0.7235895510814798
66,GXF,-0.7268333972413106
67,EPV,-0.7277160829613549
68,JPEU,-0.728074565995726
69,EWU,-0.7662701283009777
70,EUDV,-0.7668264908553738
71,OEUR,-0.7684654417609702
72,ADRD,-0.7713040200650016
73,EUMV,-0.8081232304383035
