,Alpha_Q,Q_measure,Rank
DBEU,20.868010749816563,8.652429773103988e-10,1.0
HEWU,19.239352378844913,4.410170973028674e-09,2.0
HEWL,18.22658832550021,1.2142084930405336e-08,3.0
DBUK,16.260007820129154,8.676974637268969e-08,4.0
HEDJ,15.823623161315687,1.3424180324619515e-07,5.0
DBEZ,14.673942680358685,4.238260690591004e-07,6.0
HEZU,14.015404472350884,8.188176132393488e-07,7.0
EUSC,13.53979335784894,1.3174752294963348e-06,8.0
HFXE,13.458547325134099,1.428983329215256e-06,9.0
EWL,13.10646259307844,2.0320557490293627e-06,10.0
FSZ,12.715756721496415,3.0034265988403215e-06,11.0
DXGE,12.031306800842135,5.954836563187914e-06,12.0
EFNL,11.04459972381579,1.5973176300415386e-05,13.0
EWN,10.883520851135128,1.8764930086284416e-05,14.0
EWQ,10.73779026031482,2.1708856211844595e-05,15.0
DBGR,10.696405906677125,2.2626112310830053e-05,16.0
DEZU,10.4922746658324,2.7750001441319212e-05,17.0
HEWG,10.441579627990606,2.9193057669827328e-05,18.0
GVAL,10.38596988677967,3.0862463474663545e-05,19.0
ADRD,10.121436042785533,4.020834315171502e-05,20.0
JPEH,9.509356422424219,7.415475071697625e-05,21.0
FDD,9.39391376495352,8.322907891972306e-05,22.0
IEUR,9.307861595153717,9.070830901660534e-05,23.0
VGK,9.2364361190795,9.742418043122292e-05,24.0
GSEU,9.07791584014884,0.00011415928589111824,25.0
EWGS,8.918705024719152,0.00013386147990713227,26.0
IEV,8.912737770080483,0.00013466265347002087,27.0
ENOR,8.851662254333416,0.00014314359734240583,28.0
FEU,8.819192619323651,0.00014786769757189569,29.0
EUMV,8.790775108337321,0.00015213000473914096,30.0
NORW,8.788803977966229,0.00015243016854564752,31.0
DDEZ,8.757269859313883,0.00015731351085480859,32.0
EUDG,8.686775093078534,0.0001688035250405976,33.0
RFEU,8.437128715515062,0.00021667138316732324,34.0
JPEU,8.361630821227955,0.00023366296036181312,35.0
EWO,8.140174217224054,0.00029158639443804325,36.0
SMEZ,8.126674842834404,0.0002955493166476626,37.0
FEP,8.039523200988704,0.0003224626633500137,38.0
EZU,7.986662101745542,0.0003399669667317038,39.0
HEWI,7.92279689788812,0.0003623873473536954,40.0
SCID,7.783353996276797,0.000416612511877611,41.0
FEUZ,7.712743721008242,0.000447093094019803,42.0
ADRU,7.644792213439884,0.00047852973186628063,43.0
HEWP,7.577470283508245,0.0005118544331982421,44.0
FEZ,7.338618431091258,0.0006499478486814016,45.0
EWU,6.84492847442623,0.0010648423974076165,46.0
IEUS,6.558438301086393,0.0014180986250259113,47.0
EWD,6.40532024383542,0.001652740856872082,48.0
PGAL,5.786553306579573,0.003068540288305687,49.0
EDEN,5.569892539978015,0.003810889928904947,50.0
DFE,5.523243217468251,0.003992877150987007,51.0
EWG,5.475745658874502,0.004187105233489136,52.0
FGM,5.400154304504386,0.0045158840675956595,53.0
DAX,5.162233161926266,0.005728891846835889,54.0
OEUR,5.1180658340454075,0.00598759270038828,55.0
EUDV,4.743205070495606,0.008710683044269663,56.0
GXF,4.607875251770019,0.00997298589611745,57.0
EWK,4.545690727233885,0.010612839606609414,58.0
FIEE,4.0878947067260745,0.016774511676764494,59.0
EWI,4.0343262863159195,0.017697599212463274,60.0
EWUS,3.8431698226928708,0.021425578307235925,61.0
EUFN,3.747335548400878,0.02358049130554884,62.0
EIRL,3.7322973251342777,0.023937779756970926,63.0
EWP,3.575788230895996,0.027993351850879172,64.0
UPV,3.4497053146362298,0.03175499273099456,65.0
EDOM,3.0209553146362307,0.04875462010538802,66.0
WBIA,2.331092872619629,0.09718947331395955,67.0
GREK,2.289307289123535,0.10133663453531454,68.0
FKU,2.2835238265991213,0.10192440921156164,69.0
EURL,2.0984564590454093,0.12264559071759196,70.0
EURZ,1.1885922622680662,0.30464982940200896,71.0
GRMY,0.33667850494384777,0.7141383949637236,72.0
EPV,-6.454999999999905,635.8737262527053,73.0
