,Alpha_Q,Q_measure,Rank
HEWL,15.995981178283458,1.1298834351567133e-07,1.0
DBEU,13.770185279846007,1.0463681652265789e-06,2.0
EUSC,13.031206474304028,2.1908817396874884e-06,3.0
HEWU,12.90673252105696,2.481288636970933e-06,4.0
DBUK,12.18774486541733,5.092483823333399e-06,5.0
HFXE,11.779945182800148,7.656579742028199e-06,6.0
HEDJ,11.273969230651726,1.269922956323958e-05,7.0
DBEZ,11.021732749938835,1.634264269549988e-05,8.0
HEZU,10.468469200134162,2.8418528881356524e-05,9.0
DEZU,10.417024116515996,2.9918781931987628e-05,10.0
EWL,9.931285438537493,4.862924599823454e-05,11.0
GVAL,9.891720924377339,5.0591806362519716e-05,12.0
FSZ,9.796415596008199,5.565071701227018e-05,13.0
EWGS,9.6565881729125,6.400251535772316e-05,14.0
EWN,9.655826683044335,6.405127118588369e-05,15.0
EWQ,8.816086082458416,0.00014832776826887535,16.0
DXGE,8.758557777404704,0.00015711103435281097,17.0
JPEH,8.410487709045338,0.00022252130479698495,18.0
EFNL,8.126102409362726,0.00029571854740109607,19.0
FEUZ,8.111582221984797,0.0003000437615884668,20.0
GSEU,7.891587181091247,0.00037387569537932646,21.0
HEWG,7.737037620544377,0.0004363623330880345,22.0
ADRD,7.6570306015014085,0.00047270899020780975,23.0
DBGR,7.630052986144963,0.0004856351257254883,24.0
EWO,7.605905036926214,0.0004975049573333062,25.0
FEP,7.60481540679926,0.0004980473491727049,26.0
SMEZ,7.5314415359496545,0.0005359650866030114,27.0
EUDG,7.497778739929147,0.000554314279844008,28.0
IEUR,7.464463462829538,0.0005730924772963775,29.0
VGK,7.3041044235229,0.0006727717603392303,30.0
RFEU,7.152867698669387,0.0007826165517882675,31.0
DDEZ,6.894598655700642,0.0010132435524627349,32.0
FDD,6.89341251373287,0.0010144461162285667,33.0
IEV,6.794791908264122,0.0011195909223858933,34.0
FEU,6.784292182922324,0.0011314082503492383,35.0
EUMV,6.739341316223109,0.0011834264037219621,36.0
IEUS,6.722870750427208,0.001203079510777019,37.0
SCID,6.663965034484828,0.001276076638318741,38.0
HEWI,6.598336372375454,0.001362633066955052,39.0
JPEU,6.549835319519009,0.0014303511298256653,40.0
NORW,6.465943031311004,0.0015555236598258188,41.0
EZU,6.419881553649872,0.0016288491546000029,42.0
ENOR,6.403941078186006,0.0016550218328495677,43.0
FEZ,5.764071998596175,0.0031383063655781216,44.0
HEWP,5.5941279220580915,0.003719641738989624,45.0
FGM,5.395553703308097,0.004536707713155065,46.0
ADRU,5.347819023132318,0.004758517907789814,47.0
DFE,5.248700752258295,0.005254340656552627,48.0
PGAL,5.147118949890134,0.005816137194432446,49.0
EWU,5.10118915557861,0.006089500894294894,50.0
EDEN,4.939048500061035,0.007161409211972067,51.0
EWD,4.691750984191894,0.009170614488733304,52.0
DAX,4.594159278869628,0.010110717502639335,53.0
EWG,4.506147117614746,0.011040917688662449,54.0
OEUR,4.026728553771972,0.017832572935789402,55.0
EUDV,3.8776184463500973,0.02070006483996838,56.0
EWI,3.773997611999511,0.022960094033590294,57.0
EWUS,3.704079475402832,0.02462287289870791,58.0
EWK,3.6800988388061517,0.025220481949705848,59.0
EIRL,3.4126047897338863,0.03295524699019983,60.0
EUFN,3.263394737243652,0.038258300441560644,61.0
EDOM,3.199949073791503,0.04076427989572367,62.0
FIEE,3.1389866256713868,0.043326681809887704,63.0
GXF,3.096631736755371,0.04520119579938145,64.0
UPV,2.937562294006347,0.05299475704479774,65.0
EWP,2.8504183578491205,0.05782012631051926,66.0
WBIA,2.7556208419799804,0.06356954077540128,67.0
GREK,2.219672431945801,0.10864469152696413,68.0
FKU,2.211522102355956,0.10953379991249473,69.0
EURL,1.8174033737182618,0.16244701795688757,70.0
EURZ,0.9935055923461913,0.37027637513833134,71.0
GRMY,0.15227909088134767,0.8587485783957094,72.0
EPV,-4.924999999999938,137.68934164285002,73.0
