Rank,ETF,Sharp Omega
1,EURL,-0.5566412758952892
2,UPV,-0.7172886804713656
3,FIEE,-0.7226460217608551
4,GREK,-0.7560781543552244
5,EPV,-0.7965255973472775
6,EUFN,-0.8316389682018586
7,EWI,-0.8528200204194886
8,HEWI,-0.8568633448299356
9,ENOR,-0.8584211756729471
10,EWO,-0.8603090541997674
11,NORW,-0.8607544946850381
12,EWP,-0.8647754800851496
13,EFNL,-0.8718729771664462
14,EWD,-0.8754572432111796
15,HEWP,-0.8794811645720333
16,PGAL,-0.8833428443713927
17,EWGS,-0.888278671545437
18,GRMY,-0.8948111987846116
19,FGM,-0.8970734170755114
20,EDOM,-0.8973235808355398
21,EWQ,-0.8978157023432392
22,FEZ,-0.8984160942211137
23,EWUS,-0.8989439424875193
24,FEUZ,-0.9001653831837474
25,SMEZ,-0.9005659481693283
26,EWG,-0.9024965276199386
27,DAX,-0.902608131218759
28,EZU,-0.9059341929033384
29,EURZ,-0.9059478494412474
30,GXF,-0.9064304817670665
31,FEP,-0.9090808436548806
32,FKU,-0.9124263398801707
33,HEDJ,-0.9136676563442631
34,EWN,-0.9140359572932284
35,DXGE,-0.9154559483951364
36,HEWG,-0.9157563305836192
37,EWK,-0.9160552925518499
38,GVAL,-0.9162881304681398
39,RFEU,-0.9174028891226453
40,IEUS,-0.9182751766366624
41,DBGR,-0.9184655945197261
42,HEZU,-0.9200253279832232
43,DBUK,-0.920038525494818
44,EDEN,-0.9206169986032633
45,DDEZ,-0.9210783961272079
46,DBEZ,-0.9249557220677264
47,DFE,-0.9250751181891348
48,DEZU,-0.9269137419308725
49,FSZ,-0.9284259925024462
50,EIRL,-0.9298503650747671
51,ADRU,-0.9306535189452176
52,VGK,-0.9322282215963708
53,EUDG,-0.9335755032962412
54,IEV,-0.9338611150034583
55,IEUR,-0.936862735247591
56,GSEU,-0.9382040186217868
57,FEU,-0.9396052229322744
58,JPEU,-0.9421028376323008
59,EUSC,-0.9426838571785888
60,JPEH,-0.942753651599323
61,DBEU,-0.9451276049229367
62,FDD,-0.946844833202641
63,OEUR,-0.9474918341124221
64,WBIA,-0.9487936301951103
65,EWU,-0.949096496053671
66,HEWU,-0.9496934436157503
67,SCID,-0.9509374388521795
68,ADRD,-0.9515418549727844
69,EWL,-0.9523081772255159
70,HFXE,-0.9546493133016672
71,HEWL,-0.9580026176391246
72,EUMV,-0.9613962166312916
73,EUDV,-0.9679205470038919
