,Date,Value
0,2014-03-11,0.18
1,2014-03-12,0.18
2,2014-03-13,0.18
3,2014-03-14,0.18
4,2014-03-17,0.17
5,2014-03-18,0.18
6,2014-03-19,0.17
7,2014-03-20,0.17
8,2014-03-21,0.17
9,2014-03-24,0.18
10,2014-03-25,0.18
11,2014-03-26,0.18
12,2014-03-27,0.19
13,2014-03-28,0.19
14,2014-03-31,0.18
15,2014-04-01,0.19
16,2014-04-02,0.21
17,2014-04-03,0.21
18,2014-04-04,0.2
19,2014-04-07,0.2
20,2014-04-08,0.2
21,2014-04-09,0.19
22,2014-04-10,0.19
23,2014-04-11,0.19
24,2014-04-14,0.19
25,2014-04-15,0.19
26,2014-04-16,0.19
27,2014-04-17,0.2
28,2014-04-18,0
29,2014-04-21,0
30,2014-04-22,0.2
31,2014-04-23,0.21
32,2014-04-24,0.22
33,2014-04-25,0.2
34,2014-04-28,0.19
35,2014-04-29,0.21
36,2014-04-30,0.19
37,2014-05-01,0.19
38,2014-05-02,0.2
39,2014-05-05,0
40,2014-05-06,0.19
41,2014-05-07,0.19
42,2014-05-08,0.19
43,2014-05-09,0.19
44,2014-05-12,0.2
45,2014-05-13,0.19
46,2014-05-14,0.2
47,2014-05-15,0.2
48,2014-05-16,0.2
49,2014-05-19,0.2
50,2014-05-20,0.2
51,2014-05-21,0.19
52,2014-05-22,0.2
53,2014-05-23,0.19
54,2014-05-26,0
55,2014-05-27,0.19
56,2014-05-28,0.19
57,2014-05-29,0.19
58,2014-05-30,0.19
59,2014-06-02,0.19
60,2014-06-03,0.19
61,2014-06-04,0.19
62,2014-06-05,0.19
63,2014-06-06,0.19
64,2014-06-09,0.19
65,2014-06-10,0.19
66,2014-06-11,0.19
67,2014-06-12,0.19
68,2014-06-13,0.19
69,2014-06-16,0.19
70,2014-06-17,0.19
71,2014-06-18,0.2
72,2014-06-19,0.21
73,2014-06-20,0.21
74,2014-06-23,0.2
75,2014-06-24,0.2
76,2014-06-25,0.2
77,2014-06-26,0.19
78,2014-06-27,0.2
79,2014-06-30,0.19
80,2014-07-01,0.21
81,2014-07-02,0.21
82,2014-07-03,0.22
83,2014-07-04,0
84,2014-07-07,0.19
85,2014-07-08,0.2
86,2014-07-09,0.2
87,2014-07-10,0.21
88,2014-07-11,0.21
89,2014-07-14,0.2
90,2014-07-15,0.21
91,2014-07-16,0.21
92,2014-07-17,0.21
93,2014-07-18,0.21
94,2014-07-21,0.2
95,2014-07-22,0.2
96,2014-07-23,0.2
97,2014-07-24,0.21
98,2014-07-25,0.2
99,2014-07-28,0.2
100,2014-07-29,0.22
101,2014-07-30,0.2
102,2014-07-31,0.21
103,2014-08-01,0.21
104,2014-08-04,0.2
105,2014-08-05,0.21
106,2014-08-06,0.2
107,2014-08-07,0.2
108,2014-08-08,0.21
109,2014-08-11,0.19
110,2014-08-12,0.2
111,2014-08-13,0.19
112,2014-08-14,0.19
113,2014-08-15,0.2
114,2014-08-18,0.2
115,2014-08-19,0.2
116,2014-08-20,0.19
117,2014-08-21,0.21
118,2014-08-22,0.21
119,2014-08-25,0
120,2014-08-26,0.21
121,2014-08-27,0.19
122,2014-08-28,0.2
123,2014-08-29,0.2
124,2014-09-01,0
125,2014-09-02,0.2
126,2014-09-03,0.2
127,2014-09-04,0.2
128,2014-09-05,0.2
129,2014-09-08,0.21
130,2014-09-09,0.21
131,2014-09-10,0.21
132,2014-09-11,0.21
133,2014-09-12,0.21
134,2014-09-15,0.21
135,2014-09-16,0.21
136,2014-09-17,0.21
137,2014-09-18,0.21
138,2014-09-19,0.21
139,2014-09-22,0.23
140,2014-09-23,0.22
141,2014-09-24,0.22
142,2014-09-25,0.22
143,2014-09-26,0.22
144,2014-09-29,0.22
145,2014-09-30,0.22
146,2014-10-01,0.21
147,2014-10-02,0.22
148,2014-10-03,0.22
149,2014-10-06,0.21
150,2014-10-07,0.21
151,2014-10-08,0.22
152,2014-10-09,0.22
153,2014-10-10,0.22
154,2014-10-13,0
155,2014-10-14,0.21
156,2014-10-15,0.21
157,2014-10-16,0.2
158,2014-10-17,0.21
159,2014-10-20,0.21
160,2014-10-21,0.21
161,2014-10-22,0.21
162,2014-10-23,0.22
163,2014-10-24,0.22
164,2014-10-27,0.21
165,2014-10-28,0.21
166,2014-10-29,0.2
167,2014-10-30,0.22
168,2014-10-31,0.22
169,2014-11-03,0.21
170,2014-11-04,0.2
171,2014-11-05,0.2
172,2014-11-06,0.2
173,2014-11-07,0.2
174,2014-11-10,0.21
175,2014-11-11,0
176,2014-11-12,0.21
177,2014-11-13,0.21
178,2014-11-14,0.21
179,2014-11-17,0.2
180,2014-11-18,0.21
181,2014-11-19,0.22
182,2014-11-20,0.21
183,2014-11-21,0.22
184,2014-11-24,0.21
185,2014-11-25,0.22
186,2014-11-26,0.22
187,2014-11-27,0
188,2014-11-28,0.21
189,2014-12-01,0.2
190,2014-12-02,0.2
191,2014-12-03,0.22
192,2014-12-04,0.22
193,2014-12-05,0.22
194,2014-12-08,0.21
195,2014-12-09,0.2
196,2014-12-10,0.21
197,2014-12-11,0.21
198,2014-12-12,0.22
